Date,Open,High,Low,Close,Adj Close,Volume
2024-02-13,100.02,100.66,99.7,100.5,100.5,798714
2024-02-14,100.18,100.77,99.74,100.36,100.36,292822
2024-02-15,101.01,101.03,100.78,101.01,101.01,979970
2024-02-16,102.54,102.84,102.27,102.53,102.53,601881
2024-02-19,102.16,102.41,101.92,102.3,102.3,582422
2024-02-20,102.25,102.31,101.73,102.06,102.06,748073
2024-02-21,103.32,103.68,103.25,103.64,103.64,811769
2024-02-22,104.36,104.76,104.35,104.41,104.41,656478
2024-02-23,103.97,104.14,103.78,103.94,103.94,128095
2024-02-26,104.63,105.0,104.13,104.48,104.48,338267
2024-02-27,104.23,104.26,103.92,104.02,104.02,928083
2024-02-28,103.21,103.71,102.88,103.55,103.55,224615
2024-02-29,103.33,104.06,102.85,103.79,103.79,372167
2024-03-01,102.26,102.66,101.83,101.88,101.88,432076
2024-03-04,100.25,100.41,99.82,100.16,100.16,439404
2024-03-05,99.37,99.91,99.15,99.59,99.59,612939
2024-03-06,99.05,99.49,98.15,98.58,98.58,943075
2024-03-07,98.93,99.24,98.81,98.89,98.89,240692
2024-03-08,98.34,98.46,97.64,97.99,97.99,121501
2024-03-11,96.59,96.61,96.15,96.57,96.57,197470
2024-03-12,98.66,99.09,97.57,98.04,98.04,886924
2024-03-13,98.34,98.35,97.47,97.81,97.81,645810
2024-03-14,97.81,98.32,97.56,97.88,97.88,285906
2024-03-15,96.75,97.01,96.15,96.46,96.46,815946
2024-03-18,96.11,96.58,95.48,95.91,95.91,861369
2024-03-19,96.43,96.83,95.74,96.02,96.02,846514
2024-03-20,94.58,95.37,94.57,94.87,94.87,918926
2024-03-21,95.45,95.63,94.78,95.25,95.25,252241
2024-03-22,94.96,95.35,94.3,94.65,94.65,755041
2024-03-25,93.83,94.56,93.49,94.36,94.36,460539
2024-03-26,93.4,93.99,93.29,93.75,93.75,841998
2024-03-27,94.99,95.92,94.66,95.61,95.61,728490
2024-03-28,95.51,96.03,95.31,95.59,95.59,776447
2024-03-29,94.75,95.24,94.21,94.53,94.53,656161
2024-04-01,95.81,96.19,95.3,95.36,95.36,177428
2024-04-02,94.16,94.37,93.81,94.14,94.14,545026
2024-04-03,94.83,95.04,93.85,94.35,94.35,984669
2024-04-04,91.97,92.75,91.95,92.39,92.39,937388
2024-04-05,90.55,91.18,90.06,91.06,91.06,43173
2024-04-08,91.24,91.31,91.03,91.25,91.25,164814
2024-04-09,92.11,92.29,91.56,91.99,91.99,131728
2024-04-10,92.15,92.31,91.76,92.16,92.16,725979
2024-04-11,91.43,92.2,91.14,92.05,92.05,817785
2024-04-12,91.72,91.86,91.35,91.75,91.75,213511
2024-04-15,89.88,90.29,89.44,90.27,90.27,505852
2024-04-16,89.75,89.76,89.35,89.55,89.55,840703
2024-04-17,89.2,89.69,88.93,89.09,89.09,732801
2024-04-18,89.86,90.36,89.53,90.15,90.15,542237
2024-04-19,90.34,90.68,89.93,90.49,90.49,590347
2024-04-22,88.41,89.07,88.03,88.73,88.73,508360
2024-04-23,89.03,89.16,88.63,89.05,89.05,297548
2024-04-24,88.95,89.43,88.45,88.67,88.67,565021
2024-04-25,87.69,88.38,87.28,87.99,87.99,688885
2024-04-26,88.75,88.8,88.54,88.6,88.6,873322
2024-04-29,89.47,89.84,89.2,89.63,89.63,636291
2024-04-30,90.32,91.0,90.32,90.56,90.56,761121
2024-05-01,89.69,90.2,89.53,89.72,89.72,160071
2024-05-02,89.1,89.65,88.92,89.41,89.41,461557
2024-05-03,89.58,90.05,89.38,89.75,89.75,9331
2024-05-06,90.36,90.8,90.01,90.72,90.72,246678
2024-05-07,90.83,91.33,90.05,90.24,90.24,726461
2024-05-08,90.07,90.18,89.83,90.06,90.06,991809
2024-05-09,88.74,89.42,88.62,88.95,88.95,99178
2024-05-10,87.82,88.14,87.57,87.75,87.75,401494
2024-05-13,88.53,88.87,88.42,88.57,88.57,800070
2024-05-14,89.86,90.18,89.82,89.92,89.92,204035
2024-05-15,90.03,90.15,89.55,89.85,89.85,555084
2024-05-16,91.08,91.17,90.52,90.85,90.85,733071
2024-05-17,91.06,91.33,90.75,91.22,91.22,615985
2024-05-20,90.4,90.66,90.17,90.57,90.57,188024
2024-05-21,90.85,91.32,90.66,90.93,90.93,355384
2024-05-22,91.78,92.64,91.35,92.47,92.47,783791
2024-05-23,91.98,92.46,91.72,92.43,92.43,554226
2024-05-24,94.41,94.89,93.76,94.0,94.0,5229
2024-05-27,91.87,92.31,91.37,91.38,91.38,760990
2024-05-28,92.13,92.66,91.96,92.2,92.2,35311
2024-05-29,92.46,92.96,92.1,92.29,92.29,745733
2024-05-30,92.08,92.17,91.79,91.99,91.99,202480
2024-05-31,93.0,93.2,91.79,92.08,92.08,958073
2024-06-03,90.43,90.81,89.83,90.09,90.09,367940
2024-06-04,89.83,90.22,89.53,89.87,89.87,326931
2024-06-05,89.94,90.31,89.56,90.23,90.23,148888
2024-06-06,91.23,92.12,90.82,91.71,91.71,305604
2024-06-07,91.25,91.36,90.83,91.19,91.19,876650
2024-06-10,90.15,90.49,89.68,90.38,90.38,996334
2024-06-11,89.45,90.15,89.44,89.88,89.88,368309
2024-06-12,90.6,91.09,90.5,90.8,90.8,448610
2024-06-13,90.8,91.41,90.8,91.12,91.12,722070
2024-06-14,91.1,91.15,90.27,90.59,90.59,886195
2024-06-17,91.37,91.81,90.66,91.11,91.11,593044
2024-06-18,91.2,91.34,91.08,91.2,91.2,391525
2024-06-19,92.62,92.68,91.71,92.17,92.17,412621
2024-06-20,91.49,91.94,91.44,91.47,91.47,695618
2024-06-21,90.88,91.62,90.42,91.14,91.14,3218
2024-06-24,91.21,91.64,90.58,90.75,90.75,619589
2024-06-25,89.45,89.85,89.24,89.29,89.29,355493
2024-06-26,89.27,89.91,89.03,89.58,89.58,794197
2024-06-27,89.79,90.12,89.66,89.84,89.84,92990
2024-06-28,89.59,89.89,89.44,89.85,89.85,588202
2024-07-01,89.2,89.82,89.05,89.62,89.62,480972
2024-07-02,88.48,88.66,87.8,88.2,88.2,642325
2024-07-03,88.35,88.48,87.51,87.78,87.78,64853
2024-07-04,87.02,87.8,86.86,87.44,87.44,579983
2024-07-05,86.8,87.05,86.33,86.63,86.63,561484
2024-07-08,86.28,86.51,85.92,86.47,86.47,560660
2024-07-09,86.73,86.99,86.59,86.88,86.88,603487
2024-07-10,88.59,89.1,88.38,88.76,88.76,676467
2024-07-11,88.68,88.98,88.62,88.94,88.94,804988
2024-07-12,89.21,89.64,89.1,89.2,89.2,269820
2024-07-15,88.87,89.37,88.53,89.12,89.12,825049
2024-07-16,87.28,87.52,87.11,87.2,87.2,498255
2024-07-17,87.16,87.47,86.9,87.18,87.18,77058
2024-07-18,87.16,87.65,86.81,87.24,87.24,58550
2024-07-19,89.43,89.87,89.37,89.7,89.7,334238
2024-07-22,89.33,89.85,89.05,89.51,89.51,784896
2024-07-23,90.03,90.32,89.68,89.81,89.81,707680
2024-07-24,89.92,90.06,89.29,89.77,89.77,788614
2024-07-25,88.31,89.04,88.07,88.6,88.6,517269
2024-07-26,89.78,90.18,89.34,89.75,89.75,440198
2024-07-29,90.73,91.05,90.22,90.5,90.5,147452
2024-07-30,90.79,91.72,90.77,91.29,91.29,328192
2024-07-31,90.54,90.98,90.06,90.38,90.38,434019
2024-08-01,91.59,92.14,91.11,91.78,91.78,88600
2024-08-02,90.55,90.97,90.08,90.38,90.38,220611
2024-08-05,90.74,91.32,90.33,90.97,90.97,598225
2024-08-06,92.62,93.5,92.18,93.16,93.16,735663
2024-08-07,91.68,92.48,91.57,92.17,92.17,998347
2024-08-08,91.62,91.99,91.5,91.6,91.6,933113
2024-08-09,91.78,91.86,91.4,91.7,91.7,642565
2024-08-12,90.93,91.64,90.72,91.2,91.2,421248
2024-08-13,89.84,90.28,89.23,89.65,89.65,636177
2024-08-14,89.22,89.73,88.77,89.72,89.72,785651
2024-08-15,88.63,89.07,88.46,88.65,88.65,118336
2024-08-16,88.76,89.19,88.65,89.13,89.13,409904
2024-08-19,88.01,88.38,87.62,88.21,88.21,839802
2024-08-20,89.77,90.14,89.62,89.76,89.76,383832
2024-08-21,88.72,89.06,88.31,88.98,88.98,571872
2024-08-22,88.54,89.06,88.33,88.65,88.65,587769
2024-08-23,89.77,90.18,89.13,89.47,89.47,184476
2024-08-26,88.06,88.49,88.02,88.24,88.24,362235
2024-08-27,88.71,88.72,88.15,88.46,88.46,334511
2024-08-28,89.43,89.91,89.21,89.77,89.77,26196
2024-08-29,88.32,88.63,87.87,88.16,88.16,24191
2024-08-30,88.78,89.27,88.26,88.35,88.35,831697
2024-09-02,87.87,88.92,87.5,88.61,88.61,273070
2024-09-03,89.15,89.52,88.72,89.39,89.39,518078
2024-09-04,88.33,88.64,88.04,88.15,88.15,298725
2024-09-05,86.77,87.1,86.72,86.83,86.83,940679
2024-09-06,87.47,87.86,87.34,87.35,87.35,259296
2024-09-09,87.47,87.7,87.15,87.65,87.65,429656
2024-09-10,87.93,88.31,87.6,87.9,87.9,872730
2024-09-11,88.2,88.52,87.93,88.25,88.25,841933
2024-09-12,87.92,88.4,87.45,87.57,87.57,186101
2024-09-13,87.88,88.05,87.6,87.8,87.8,802643
2024-09-16,88.19,88.51,87.8,88.09,88.09,458186
2024-09-17,87.26,87.84,87.01,87.38,87.38,482968
2024-09-18,89.1,89.3,88.6,89.24,89.24,133479
2024-09-19,89.59,90.19,89.52,89.72,89.72,80601
2024-09-20,88.65,88.99,88.18,88.53,88.53,727939
2024-09-23,89.06,89.22,88.86,89.18,89.18,496461
2024-09-24,88.3,88.45,87.99,88.21,88.21,436850
2024-09-25,89.62,89.97,88.64,89.0,89.0,729508
2024-09-26,90.42,90.45,89.81,90.15,90.15,765512
2024-09-27,89.24,89.63,88.74,89.33,89.33,158908
2024-09-30,90.66,90.83,90.23,90.3,90.3,610225
2024-10-01,90.59,91.02,90.54,90.71,90.71,135354
2024-10-02,90.92,91.56,90.56,91.53,91.53,751375
2024-10-03,93.13,93.86,92.84,93.43,93.43,656955
2024-10-04,92.62,93.67,92.49,93.18,93.18,956614
2024-10-07,92.32,92.91,92.28,92.43,92.43,68958
2024-10-08,91.55,91.92,91.5,91.54,91.54,57054
2024-10-09,91.23,91.29,90.28,90.72,90.72,282187
2024-10-10,90.75,91.12,90.55,90.65,90.65,261705
2024-10-11,90.92,91.0,90.76,90.99,90.99,246978
2024-10-14,91.51,91.53,91.15,91.27,91.27,906254
2024-10-15,91.43,92.25,91.25,92.09,92.09,249546
2024-10-16,92.18,92.42,92.07,92.11,92.11,271949
2024-10-17,93.79,94.18,93.3,93.56,93.56,759398
2024-10-18,92.85,93.64,92.82,93.29,93.29,449739
2024-10-21,96.36,96.58,95.61,96.01,96.01,776710
2024-10-22,96.74,96.88,96.52,96.64,96.64,65366
2024-10-23,95.66,96.28,95.39,95.78,95.78,487571
2024-10-24,94.9,95.12,94.27,94.71,94.71,33613
2024-10-25,95.88,96.1,94.87,95.19,95.19,62653
2024-10-28,95.03,95.11,94.7,94.97,94.97,906437
2024-10-29,95.76,96.16,95.52,95.69,95.69,139245
2024-10-30,96.02,96.51,95.85,96.16,96.16,532420
2024-10-31,95.83,96.2,95.5,96.09,96.09,411095
2024-11-01,95.49,95.53,94.74,95.24,95.24,347343
2024-11-04,93.47,94.06,93.14,93.72,93.72,899833
2024-11-05,93.3,93.63,93.0,93.28,93.28,21823
2024-11-06,93.99,94.27,93.63,94.13,94.13,663789
2024-11-07,94.49,94.97,94.12,94.35,94.35,963394
2024-11-08,93.2,93.28,93.07,93.1,93.1,560168
2024-11-11,93.59,93.8,92.99,93.28,93.28,936822
2024-11-12,93.51,94.13,93.03,93.66,93.66,52257
2024-11-13,92.7,92.99,92.61,92.78,92.78,418793
2024-11-14,92.64,93.25,92.29,92.93,92.93,260157
2024-11-15,92.86,93.19,92.76,92.99,92.99,730820
2024-11-18,91.96,92.1,91.58,91.85,91.85,981297
2024-11-19,92.43,92.92,92.16,92.2,92.2,256530
2024-11-20,92.49,92.97,92.26,92.76,92.76,654174
2024-11-21,94.11,94.56,93.47,93.85,93.85,198097
2024-11-22,95.31,95.42,94.73,94.9,94.9,565330
2024-11-25,93.65,93.75,93.19,93.52,93.52,463932
2024-11-26,93.15,93.16,92.19,92.59,92.59,972005
2024-11-27,92.87,93.43,92.41,93.1,93.1,608527
2024-11-28,93.24,93.8,93.12,93.61,93.61,349506
2024-11-29,93.6,94.56,93.4,94.13,94.13,114095
2024-12-02,98.43,98.67,97.91,97.98,97.98,151246
2024-12-03,98.75,99.23,98.06,98.55,98.55,225316
2024-12-04,99.67,99.78,99.21,99.69,99.69,250966
2024-12-05,100.73,101.16,100.37,100.64,100.64,850616
2024-12-06,100.96,101.68,100.54,101.29,101.29,561222
2024-12-09,101.71,102.1,100.72,100.98,100.98,523390
2024-12-10,101.78,102.2,101.43,101.74,101.74,114768
2024-12-11,101.0,101.38,100.92,100.97,100.97,860139
2024-12-12,100.95,101.26,100.35,100.73,100.73,722814
2024-12-13,100.39,100.45,100.18,100.24,100.24,67668
2024-12-16,100.39,100.41,99.91,100.32,100.32,707835
2024-12-17,102.4,103.1,102.01,102.64,102.64,543538
2024-12-18,100.91,101.22,100.42,100.77,100.77,81725
2024-12-19,102.02,102.42,101.44,101.46,101.46,458300
2024-12-20,100.25,100.49,99.69,99.85,99.85,484696
2024-12-23,99.85,99.91,99.24,99.37,99.37,165774
2024-12-24,100.31,100.53,100.13,100.46,100.46,945698
2024-12-25,100.23,100.87,100.19,100.53,100.53,849975
2024-12-26,99.41,99.66,98.94,99.45,99.45,669022
